,zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,providerListingId,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,availabilityDate
0,351121401,351121401,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/Edmonton-AB-T5X-4X2/351121401_zpid/,FOR_SALE,Townhouse for sale,C$,"C$185,000",185000,"(undisclosed Address), Edmonton, AB T5X 4X2",(undisclosed Address),Edmonton,AB,T5X4X2,True,3,2,1148.0,,,False,False,False,ForSale,For Sale (Broker),False,
1,351063116,351063116,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/1415-62nd-St-NW-10-Edmonton-AB-T6L-4K1/351063116_zpid/,FOR_SALE,Townhouse for sale,C$,"C$154,900",154900,"1415 62nd St NW #10, Edmonton, AB T6L 4K1",1415 62nd St NW #10,Edmonton,AB,T6L4K1,False,3,2,1143.0,53.443317,-113.43121,False,False,False,ForSale,For Sale (Broker),False,
2,351116086,351116086,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/12003-52nd-St-NW-Edmonton-AB-T5W-3J7/351116086_zpid/,FOR_SALE,House for sale,C$,"C$410,000",410000,"12003 52nd St NW, Edmonton, AB T5W 3J7",12003 52nd St NW,Edmonton,AB,T5W3J7,False,5,2,1140.0,53.573692,-113.42114,False,False,False,ForSale,For Sale (Broker),False,
3,2080848770,2080848770,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11804-22nd-Ave-SW-118-Edmonton-AB-T6W-2A2/2080848770_zpid/,FOR_SALE,Apartment for sale,C$,"C$220,000",220000,"11804 22nd Ave SW #118, Edmonton, AB T6W 2A2",11804 22nd Ave SW #118,Edmonton,AB,T6W2A2,False,2,2,966.0,53.409306,-113.531044,False,False,False,ForSale,For Sale (Broker),False,
4,351123613,351123613,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/4507-12th-Ave-NW-Edmonton-AB-T6L-5X4/351123613_zpid/,FOR_SALE,House for sale,C$,"C$469,900",469900,"4507 12th Ave NW, Edmonton, AB T6L 5X4",4507 12th Ave NW,Edmonton,AB,T6L5X4,False,4,3,1244.0,53.44028,-113.40974,False,False,False,ForSale,For Sale (Broker),False,
5,351077652,351077652,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/2508-50th-St-NW-113-Edmonton-AB-T6L-6X9/351077652_zpid/,FOR_SALE,Apartment for sale,C$,"C$174,900",174900,"2508 50th St NW #113, Edmonton, AB T6L 6X9",2508 50th St NW #113,Edmonton,AB,T6L6X9,False,2,2,1192.0,53.457306,-113.42206,False,False,False,ForSale,For Sale (Broker),False,
6,351058819,351058819,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11631-112th-Ave-NW-Edmonton-AB-T5G-0H8/351058819_zpid/,FOR_SALE,House for sale,C$,"C$495,000",495000,"11631 112th Ave NW, Edmonton, AB T5G 0H8",11631 112th Ave NW,Edmonton,AB,T5G0H8,False,4,2,1044.0,53.56058,-113.523605,False,False,False,ForSale,For Sale (Broker),False,
7,351085746,351085746,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/9103-138th-Ave-NW-Edmonton-AB-T5E-2B1/351085746_zpid/,FOR_SALE,House for sale,C$,"C$429,900",429900,"9103 138th Ave NW, Edmonton, AB T5E 2B1",9103 138th Ave NW,Edmonton,AB,T5E2B1,False,5,3,1467.0,53.600388,-113.482735,False,False,False,ForSale,For Sale (Broker),False,
8,351115756,351115756,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/7911-80th-Ave-NW-Edmonton-AB-T6C-0S5/351115756_zpid/,FOR_SALE,House for sale,C$,"C$400,000",400000,"7911 80th Ave NW, Edmonton, AB T6C 0S5",7911 80th Ave NW,Edmonton,AB,T6C0S5,False,4,2,1402.0,53.515884,-113.44976,False,False,False,ForSale,For Sale (Broker),False,
9,351108217,351108217,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/5065-31st-Ave-NW-111-Edmonton-AB-T6L-6S5/351108217_zpid/,FOR_SALE,Apartment for sale,C$,"C$149,999",149999,"5065 31st Ave NW #111, Edmonton, AB T6L 6S5",5065 31st Ave NW #111,Edmonton,AB,T6L6S5,False,2,1,809.0,53.4622,-113.42361,False,False,False,ForSale,For Sale (Broker),False,
