,zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,providerListingId,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,availabilityDate
0,2055456571,2055456571,ForRent,For Rent,3t3nzqwj58jnn,https://www.zillow.com/homedetails/8128-102nd-St-NW-Edmonton-AB-T6E-3A3/2055456571_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,650/mo",1650.0,"The Station on Whyte, 8128 102nd St NW, Edmonton, AB T6E 3A3",8128 102nd St NW,Edmonton,AB,T6E3A3,False,2.0,2.0,,53.517136,-113.49398,False,False,False,ForRent,For Rent,False,
1,53.54117--113.511375,53.54117--113.511375,,,48rxv2vhaa8uk,https://www.zillow.com/apartments/edmonton-ab/jasper-one-eleven/BgFd24/,FOR_RENT,Jasper One Eleven,,,,"11020 Jasper Ave NW, Edmonton, AB",11020 Jasper Ave  NW # 711044,Edmonton,AB,T5K2N1,,,,,53.54117,-113.511375,,,,,,,
2,351016741,351016741,ForRent,For Rent,4y98mudx6ekve,https://www.zillow.com/homedetails/14105-W-Block-Dr-NW-FLOOR-13-Edmonton-AB-T5N-0P8/351016741_zpid/,FOR_RENT,Apartment for rent,C$,"C$6,250/mo",6250.0,"14105 W Block Dr NW FLOOR 13, Edmonton, AB T5N 0P8",14105 W Block Dr NW FLOOR 13,Edmonton,AB,T5N0P8,False,3.0,2.5,1900.0,53.543503,-113.5647,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
3,2063062106,2063062106,ForRent,For Rent,3xws6wvpfhjfm,https://www.zillow.com/homedetails/Edmonton-AB-T5P-0W9/2063062106_zpid/,FOR_RENT,House for rent,C$,"C$2,000/mo",2000.0,"(undisclosed Address), Edmonton, AB T5P 0W9",(undisclosed Address),Edmonton,AB,T5P0W9,True,3.0,1.0,1450.0,,,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
4,2065448314,2065448314,ForRent,For Rent,4cu9evqms0gge,https://www.zillow.com/homedetails/11846-91st-St-NW-Edmonton-AB-T5B-4B5/2065448314_zpid/,FOR_RENT,Room for rent,C$,C$700/mo,700.0,"11846 91st St NW, Edmonton, AB T5B 4B5",11846 91st St NW,Edmonton,AB,T5B4B5,False,4.0,2.0,1150.0,53.571705,-113.48164,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
5,350893112,350893112,ForRent,For Rent,1a6dqhy3cdmcw,https://www.zillow.com/homedetails/1520-Hammond-Gate-NW-140-Edmonton-AB-T6M-0J4/350893112_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,800/mo",1800.0,"1520 Hammond Gate NW #140, Edmonton, AB T6M 0J4",1520 Hammond Gate NW #140,Edmonton,AB,T6M0J4,False,2.0,2.0,968.0,53.482178,-113.6656,False,False,False,ForRent,For Rent,False,2024-09-01 00:00:00
6,2057572598,2057572598,ForRent,For Rent,985dc9hukpzx,https://www.zillow.com/homedetails/2427-Hagen-Way-NW-Edmonton-AB-T6R-3L5/2057572598_zpid/,FOR_RENT,House for rent,C$,"C$2,400/mo",2400.0,"2427 Hagen Way NW, Edmonton, AB T6R 3L5",2427 Hagen Way NW,Edmonton,AB,T6R3L5,False,3.0,2.5,1870.0,53.452057,-113.59198,False,False,False,ForRent,For Rent,False,2024-05-26 00:00:00
7,2056178143,2056178143,ForRent,For Rent,4umcqp8238ysa,https://www.zillow.com/homedetails/18122-77th-St-NW-415-Edmonton-AB-T5Z-0N7/2056178143_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,750/mo",1750.0,"18122 77th St NW #415, Edmonton, AB T5Z 0N7",18122 77th St NW #415,Edmonton,AB,T5Z0N7,False,2.0,2.0,812.0,53.644794,-113.46248,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
8,2065623518,2065623518,ForRent,For Rent,3fjuy921r11xx,https://www.zillow.com/homedetails/2215-Brennan-Ct-NW-Edmonton-AB-T5T-6M3/2065623518_zpid/,FOR_RENT,House for rent,C$,"C$2,750/mo",2750.0,"2215 Brennan Ct NW, Edmonton, AB T5T 6M3",2215 Brennan Ct NW,Edmonton,AB,T5T6M3,False,4.0,3.0,2000.0,53.51636,-113.68405,False,False,False,ForRent,For Rent,False,2024-05-15 00:00:00
9,2057990430,2057990430,ForRent,For Rent,2ux3h8n4b8d69,https://www.zillow.com/homedetails/5104-92nd-Ave-NW-Edmonton-AB-T6B-0S1/2057990430_zpid/,FOR_RENT,House for rent,C$,"C$1,900/mo",1900.0,"5104 92nd Ave NW, Edmonton, AB T6B 0S1",5104 92nd Ave NW,Edmonton,AB,T6B0S1,False,3.0,1.5,1151.0,53.527008,-113.419556,False,False,False,ForRent,For Rent,False,2024-06-01 00:00:00
10,349397904,349397904,ForRent,For Rent,522690aw7h4wn,https://www.zillow.com/homedetails/Edmonton-AB-T6X-2M2/349397904_zpid/,FOR_RENT,House for rent,C$,"C$4,700/mo",4700.0,"(undisclosed Address), Edmonton, AB T6X 2M2",(undisclosed Address),Edmonton,AB,T6X2M2,True,5.0,3.5,2100.0,,,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
11,348941501,348941501,ForRent,For Rent,33a91ehfnz1tu,https://www.zillow.com/homedetails/3139-24th-Ave-NW-Edmonton-AB-T6T-0C9/348941501_zpid/,FOR_RENT,House for rent,C$,"C$2,800/mo",2800.0,"3139 24th Ave NW, Edmonton, AB T6T 0C9",3139 24th Ave NW,Edmonton,AB,T6T0C9,False,3.0,2.5,1600.0,53.454334,-113.38589,False,False,False,ForRent,For Rent,False,2024-05-15 00:00:00
12,347042489,347042489,ForRent,For Rent,539dcpsjnne76,https://www.zillow.com/homedetails/11944-61st-St-NW-1-Edmonton-AB-T5W-4A9/347042489_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,250/mo",1250.0,"11944 61st St NW #1, Edmonton, AB T5W 4A9",11944 61st St NW #1,Edmonton,AB,T5W4A9,False,1.0,1.0,600.0,53.573242,-113.43572,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
