Address,Postal Code,Latitude,Longitude,Zone,Photo,Size of Property,Nearby Amenities,Public Remark,Services
00 NA,T8N7X6,53.6343435,-113.605895584656,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638482779663370000/reb10/highres/4/E4381084_1.jpg'],,[],Fantastic Pizza business for sale. Great opportunity to own your own popular growing franchise. This popular fast food franchise location offers high visibility and high foot traffic. The franchise serves Pizza. It has a five year lease that includes an option to extend for another 5 years. Training is available to qualified buyers. (31108343),
25 Belmont DR,T8N0C4,53.6344946466307,-113.620160991016,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638519860493530000/reb10/highres/3/E4388583_1.jpg'],,"['Golf Course', 'Playground', 'Schools', 'Shopping']","Fully serviced WALKOUT lot - ready to build! Take your pick of 4 beautiful lots and construct your dream home in the heart of St. Albert's best mature neighborhood. Steps to the Sturgeon River Valley and a quick walk to the downtown shops and St. Albert Farmer's Market mean that you will have quick access to all the best parts of town without all the driving. Unlike brand new neighborhoods on the edge of the city, these lots provide a fantastic mix of gorgeous, wide tree-lined streets and character homes plus modern new luxury infill homes. With over 5300sqft lot of land (36' x 150') and rear lane access, you have plenty of room to build an incredible house with a walkout basement plus a detached 29' x 24' garage.  R1 Zoning allows for you to have a secondary suite such as a garage or a basement suite, giving you endless possibilities. Available to start building immediately. (31316550)",
25A Belmont DR,T8N0C4,53.634774551429,-113.619474345508,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638519860492070000/reb10/highres/2/E4388582_1.jpg'],,"['Golf Course', 'Playground', 'Schools', 'Shopping']","Fully serviced WALKOUT lot - ready to build! Take your pick of 4 beautiful lots and construct your dream home in the heart of St. Albert's best mature neighborhood. Steps to the Sturgeon River Valley and a quick walk to the downtown shops and St. Albert Farmer's Market mean that you will have quick access to all the best parts of town without all the driving. Unlike brand new neighborhoods on the edge of the city, these lots provide a fantastic mix of gorgeous, wide tree-lined streets and character homes plus modern new luxury infill homes. With over 5300sqft lot of land (36' x 150') and rear lane access, you have plenty of room to build an incredible house with a walkout basement plus a detached 29' x 24' garage.  R1 Zoning allows for you to have a secondary suite such as a garage or a basement suite, giving you endless possibilities. Available to start building immediately. (31316548)",
27 Belmont DR,T8N0C4,53.6350214077501,-113.618782461377,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638519860488500000/reb10/highres/0/E4388580_1.jpg'],,"['Golf Course', 'Playground', 'Schools', 'Shopping']","Fully serviced WALKOUT lot - ready to build! Take your pick of 4 beautiful lots and construct your dream home in the heart of St. Albert's best mature neighborhood. Steps to the Sturgeon River Valley and a quick walk to the downtown shops and St. Albert Farmer's Market mean that you will have quick access to all the best parts of town without all the driving. Unlike brand new neighborhoods on the edge of the city, these lots provide a fantastic mix of gorgeous, wide tree-lined streets and character homes plus modern new luxury infill homes. With over 5300sqft lot of land (36' x 150') and rear lane access, you have plenty of room to build an incredible house with a walkout basement plus a detached 29' x 24' garage.  R1 Zoning allows for you to have a secondary suite such as a garage or a basement suite, giving you endless possibilities. Available to start building immediately. (31316544)",
7803 144 ST NW NW,T5R0R1,53.513018100001,-113.5693044,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638435403944070000/reb10/highres/0/E4373150_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","Presenting a fabulous opportunity to build in one of the most coveted locations in Laurier Heights. This prime 30' x 120' lot is situated in the heart of one of Edmonton's most desirable communities. Nestled in a picturesque cul-de-sac and facing a beautiful treed island, this tranquil setting is ideal for a family to build their dream home. Boasting breathtaking natural views and with access to shopping, schools, and the river valley, this rare location offers both privacy and convenience. House will be torn down and lot is in the process of being split. Lot for sale is the east side at 30' x 120' (pictured in red). Welcome home! (30888989)","Water, Electricity"
7807 156 ST NW,T5R1X6,53.5106774972157,-113.5900067,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638508988095970000/reb10/highres/5/E4386545_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping', 'Ski hill']",Incredible opportunity to build your dream home in Rio Terrace on this large 61 x 120 lot !!  Or subdivide into 2 sizable lots.  Don't miss out (31261630),"Water, Electricity"
9547 103A AV NW,T5H0H5,53.547236400001,-113.4824278,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638455059608900000/reb10/highres/2/E4376152_1.jpg'],1431 sqft,[],"INVESTMENT OPPORTUNITY nestled in the heart of downtown, steps away from the bustling Ice District! With a little investment, you could turn this place into a fantastic Airbnb hotspot! PRIME location just a short walk to popular attractions like Roger's Place, City Hall, Canada Place, the New Royal Alberta Museum, Winspear Centre, Art Gallery, downtown Farmers Market and MORE!  This bi-level house located in The Quarters has 7 bedrooms, 2 kitchens, and 3 entrances, covering 1445 sq ft. All the proper fire code requirements are in place for a 7-unit room rental. It sits on a 33 ft x 122 ft lot. NOTE! NEIGHBORING LOT ALSO FOR SALE! Which is a doulbe lot  spaning 66 ft x 122 ft (9551-103a Ave) making three lots a Total Land Size 12,103 sq ft +/- on 3 lots, Zoned DC 1. Exciting new development in the area including LRT expansion, new residential tower, DoubleTree Hilton Hotel, and a cool new city park. Take a leap and make this your next adventure. Act now and make your mark on Edmonton's thriving core. (30976425)",
4805 GATEWAY BV NW,T6H5C3,53.486210100001,-113.4920454,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638366478430600000/reb10/highres/4/E4366304_1.jpg'],760 sqft,[],"Welcome to ALLIANCE CENTRE GATEWAY! Coming SEPTEMBER 2025. GREAT OPPORTUNITY TO BUY YOUR OWN COMMERCIAL CONDO UNIT ! Brand new, HIGH EXPOSURE Retail / Professional / Office Commercial Condo Units FOR SALE OR LEASE. Over 30,000 vehicles per day. Quick access to Whitemud and Anthony Henday. Lots of parking and pylon signage. (30679113)",
10155 112 ST NW,T5K1M1,53.5423779462933,-113.513644490213,"[{'code': 'MU h40 f7 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638482995631870000/reb10/highres/6/E4381166_1.jpg'],1108 sqft,[],"Move-in ready, street front, main level office/retail space available for sale or lease. Easily accessible high-visibility location. Suitable for many office usages including lawyers, accountants, immigration, and other consultants, and many retail usages including, hair, nail, massage, spa, etc. Well-maintained property with low op cost. All utilities are separately metered. It comes with two heated underground titled parking stalls. Tons of street front and back-side parking available. Public transportation and all amenities are close by. Please check it out. (31110072)",
Address not available,T6G4A5,53.514573676,-113.511611223,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638509470553030000/reb9/highres/2/A2111382_1.jpg'],1354 sqft,[],"Opportunity knock! 7+ years PROFITABLE beauty business specializing in beauty/skin care. A professional team to help your customers to build up a healthy skincare routine.  This beauty spa not only have one of the best location in Edmonton, but also invest in the medical grade products, and providing continuing education for employees & students from esthetician school. Treatments include Beauty Booster, Microneedling, Acne Treatment, Facelift, etc. MUST sign confidentiality agreement. Do not approach staff. May God bless the business! (28678513)",
