price,type,address,latitude,longitude,zone,photos,parking,amenities_nearby,bedrooms,bathrooms,size_interior,ownership_type,public_remarks,postal_code,historical_data,additional_features,listing_type
"$399,000",Single Family,"8407 171 ST NW NW|Edmonton, Alberta T5T0C7",53.5173615338435,-113.6164052,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638496892099570000/reb10/highres/2/E4384032_1.jpg'],"['Oversize', 'Detached Garage']","['Playground', 'Public Transit', 'Schools', 'Shopping']",3,3,100.73 m2,Freehold,"INVESTOR ALERT! Cheerful bungalow nestled in prime location.Walking distance to West Edmonton Mall & 10km to downtown Edmonton.  3 + 1 Bedroom and 2.5 Bathrooms. Main Floor Extended ceilings, 3 Bedroom finish the main floor, basement partially finished  with bedroom and 3 piece bathroom. 8000 square feet private lot from patio door access- 60 ft wide by 130 ft deep. Great investment opportunity for infill or building multiplex. Only fridge is the only appliance included.  NOTE: Foundation issues with south wall & driveway repairs. Quote available from 2022 with reputable foundation repair company. - Buyer needs to accept Title insurance in lieu of RPR with compliance. - Property Sold as is - where is , with no Warranties or representations. (31188654)",T5T0C7,"{'price_change_date': '', 'photo_change_date': '2024-04-26 4:46:49 AM'}",[],residential
"$399,000",Single Family,"#210 7327 118 ST NW|Edmonton, Alberta T6G1S5",53.5096593,-113.534278415344,"[{'code': 'RM h16', 'description': 'Medium Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638501716448270000/reb10/highres/8/E4384868_1.jpg'],"['Heated Garage', 'Underground']",['Public Transit'],3,2,125.84 m2,Condominium/Strata,"Fantastic condo located in sought-after Belgravia - super close to the U of A Hospital, campus, and LRT.  Bus stop right outside the door!  This 3 bed, 2 bath home features hardwood flooring, in-floor heating, corner gas fireplace, in-suite laundry and 2 balconies (East and South)! Living area includes a dining area and is well planned with the fireplace and access to your balcony.  Eat-in kitchen is large and bright with plenty of cupboard and counter space.  Primary bedroom has a huge walk-in closet & 4-pc ensuite complete with soaker tub.  2nd bedroom has a walk-in closet and the 3rd bedroom features its own balcony.  Main balcony is really something with gas BBQ outlet and storage.  Treed location ensure privacy too! Includes tandem stall in the heated u/g parking, a storage locker and all the amenities this building offers!  Wash bay, party room, exercise room and more! (31213734)",T6G1S5,"{'price_change_date': '', 'photo_change_date': '2024-05-01 6:47:24 PM'}",[],residential
"$399,000",Single Family,"15717 87 AV NW|Edmonton, Alberta T5R4G7",53.5190815534664,-113.593025884656,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638507172428030000/reb10/highres/7/E4386037_1.jpg'],['Detached Garage'],"['Golf Course', 'Playground', 'Public Transit', 'Schools', 'Shopping']",5,2,97.96 m2,Freehold,"Beautiful bungalow home for sale in the desirable neighbourhood of Lynnwood! This 5 bedroom bungalow  has an open concept floor plan leading you towards a cozy living room and a spacious kitchen. There are 3 generously sized bedrooms plus a 4 piece bath on the main level. Basement  is fully finished with a family room, second kitchen , 2 more large bedrooms and another 4 piece bath. Laundry is available on both levels. There are many upgrades throughout the home including newer flooring, remodelled kitchens, plumbing, electrical and newer windows. You have the luxury of parking your vehicles in a Single detached garage or anywhere on the streets around the property to park. This home is complete with a large fully fenced yard and located close to amenities such as schools, playgrounds/parks ,public transportation ,only minutes to drive to West Edmonton Mall , close to the Whitemud Drive and much more . This home is a must see! (31246505)",T5R4G7,"{'price_change_date': '', 'photo_change_date': '2024-05-08 2:20:43 AM'}",[],residential
"$399,000",Vacant Land,"1115 147 AV NW|Edmonton, Alberta T5Y3Z6",53.6100590786087,-113.36007,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638469820128200000/reb10/highres/5/E4378735_1.jpg'],[],"['Golf Course', 'Schools', 'Shopping']",0,,,Freehold,"Stunning, RIVER FACING, LARGE SIZED parcel of VACANT LAND ready for the development of your DREAM HOME!!!  This  CORNER LOT  is located in the desirable neighbourhood of FRASER and surrounded by other beautiful homes  in a private and quiet CUL DE SAC.  This  lot is in close proximity to our beautiful SASKATCHEWAN RIVER , major routes, shopping, bus routes, schools, parks and so much more!! (31043804)",T5Y3Z6,"{'price_change_date': '', 'photo_change_date': '2024-03-25 8:46:52 PM'}",[],residential
"$399,000",Single Family,"9116 137 AV NW|Edmonton, Alberta T5E1Y5",53.599921200001,-113.4829512,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638441956057400000/reb10/highres/1/E4373981_1.jpg'],['Detached Garage'],"['Playground', 'Public Transit', 'Schools', 'Shopping']",5,4,258.3 m2,Freehold,"Welcome to the community of Northmount! This unique 2 storey home is a fantastic addition to your growing family with 4 bedrooms on the second floor, 1 bedroom in the basement and 4 living room spaces - that's right, you seen that correctly 4! This beautiful home boasts a large balcony that overlooks the neighborhood and holds 3 wood burning fireplaces; one on the upper level, one on the main floor and another in the basement. The basement features a utility room that includes a laundry room, boiler heating system, HWT and has the connections to include a second kitchen with a side entry direct to basement! Oversized 2 Car Garage for your storage needs. Best of all, this home is near an abundance of entertainment and amenities as it is located on the main road of 137 Avenue and walking distance to North Town Mall and Northgate, a quick drive to Downtown and is easy accessible to the Yellowhead, 97 Street and the Anthony Henday. (30913316)",T5E1Y5,"{'price_change_date': '', 'photo_change_date': '2024-02-22 3:46:45 PM'}",[],residential
"$399,000",Single Family,"9109 98 ST NW|Edmonton, Alberta T6E3M6",53.5266379330187,-113.482407053968,"[{'code': 'A', 'description': 'River Valley'}]",['https://cdn.realtor.ca/listings/TS638413083911400000/reb10/highres/9/E4370379_1.jpg'],['See Remarks'],[],1,,73.06 m2,Freehold,"ONE OF A KIND RAVINE LOT !!  Once in a generation opportunity to own a RARE LOT FLANKED BY MILL CREEK RAVINE.  BUILD YOUR DREAM HOME IMMERSED IN NATURE AND HAVE THE BEST ROOFTOP PATIO IN THE CITY !!  City assessment is $426,000 (30803684)",T6E3M6,"{'price_change_date': '', 'photo_change_date': '2024-01-20 5:46:31 AM'}",[],residential
"$399,000",Single Family,"#1105 10649 Saskatchewan DR NW|Edmonton, Alberta T6E6S8",53.522959100001,-113.5054222,"[{'code': 'RL h65', 'description': 'Large Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638423811985500000/reb10/highres/4/E4371484_1.jpg'],"['Heated Garage', 'Parkade', 'Underground']","['Park', 'Golf Course', 'Public Transit', 'Schools', 'Shopping']",2,2,95.59 m2,Condominium/Strata,"Welcome to this spacious & private 2-bedroom condo offering breathtaking VIEWS of the RIVER VALLEY. This CORNER UNIT has been updated with modern amenities including AIR CONDITIONING, engineered hardwood flooring and STAINLESS STEEL APPLIANCES making it comfortable and stylish. Cozy up by the FIREPLACE in the winter months or enjoy a nice meal on one of your 2 BALCONIES during sunny summer months. The 2 bdrms with ensuite bathrooms provide plenty of privacy and convenience. The UPGRADED LIGHTING gives the space a warm and inviting ambiance. For those who need a secure place to store their bikes or vehicle, this condo has you covered with UNDERGROUND HEATED parking and BIKE STORAGE. There's also an on-site exercise room for when you want to stay active. This condo is located in a prime location, with easy access to downtown, the U of A, the farmer's market, Whyte Ave and many local shops. This is a rare opportunity to live in a well-appointed condo with exceptional amenities and breathtaking views. (30839623)",T6E6S8,"{'price_change_date': '', 'photo_change_date': '2024-02-01 3:46:38 PM'}",[],residential
"$399,000",Single Family,"19707 27 AV NW|Edmonton, Alberta T6M0X1",53.459015700001,-113.6619507,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638503444398070000/reb10/highres/1/E4385371_1.jpg'],['Attached Garage'],"['Airport', 'Public Transit']",3,3,131.45 m2,Freehold,"NO CONDO FEE.. Welcome to the Uplands community where elegance meets convenience! This stunning home Situated in a prime location, this spacious 1415 sqft residence boasts 3 BEDROOMS and 2.5 BATHROOMS,  providing ample space for comfortable living. you'll find an open-concept layout that seamlessly connects the living, dining, and kitchen areas. The home features the expansive kitchen, complete with QUARTZ countertops throughout, a LARGE PANTRY, and modern appliances. Featuring an office space, this home caters to the modern lifestyle, offering flexibility for remote work or study. The upper floor laundry, eliminating the need to lug baskets up and down stairs. The DOUBLE CAR GARAGE, detached for added privacy, provides convenient parking and additional storage options. Conveniently located nearby, an 8.5 km trail offers opportunities for outdoor adventure and exploration. (31228838)",T6M0X1,"{'price_change_date': '', 'photo_change_date': '2024-05-03 6:47:19 PM'}",[],residential
"$399,399",Single Family,"155 KNOTTWOOD RD N NW|Edmonton, Alberta T6K4B8",53.4490779240214,-113.453574031213,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638514889256070000/reb10/highres/4/E4387734_1.jpg'],['Attached Garage'],"['Public Transit', 'Shopping']",2,2,150.64 m2,Condominium/Strata,"The perfect renovated place to call home (min age is 45 yrs and pets with board approval) and the complex has an INDOOR POOL, HOT TUB, PARTY ROOM, and GAMES ROOM.  2 storey townhome, with A/C, double attached garage, 2 primary bedrooms (one on the main floor) 2 bathrooms PLUS Vaulted CEILING/OPEN TO ABOVE CONCEPT in the living room with a gas fireplace!  PLUS a BONUS ROOM/LOFT upstairs. Renovations include: New kitchen with island and s/s appliances, furnance, floors, plumbing, fixtures, glass railings and more, plus ENJOY the 3 season room outside the dining room with BBQ hook up and it backs onto green space/walking path.  Best location since it is close to every major shopping centre! This is your new home! Basement is ready for your personal development. Some photos are virtually staged. (31292876)",T6K4B8,"{'price_change_date': '', 'photo_change_date': '2024-05-17 12:42:18 AM'}",[],residential
"$399,800",Single Family,"#603 9741 110 ST NW|Edmonton, Alberta T5K2V8",53.535357900001,-113.5097834,"[{'code': 'RL h65', 'description': 'Large Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638477452373500000/reb10/highres/5/E4379945_1.jpg'],['Underground'],"['Golf Course', 'Public Transit', 'Schools', 'Shopping']",2,2,98.93 m2,Condominium/Strata,"The view is beautiful from up here! This modern, 2bed 2bath, 1060sqft gorgeous condo has been completely renovated over the last few years. This southwest facing condo provides maximum light, an open floor plan with white cabinetry, granite countertops throughout, upgraded S/S appliances, new backsplash, engineered hardwood flooring, new toilets, lights and elegant tiles. Primary and 2nd bedrooms are generously sized each with their own 4-piece bathroom, 2nd bedroom has a walk-in closet with ample room for storage. Bedrooms are located on opposite ends of the living area to provide privacy. Fall in love with the picturesque views from the south-facing balcony while sipping coffee or BBQing. Corner electric fireplace w/mantel, A/C, Hunter Douglas blinds, underground parking and in suite laundry complete this home. Steps away from the convenience of LRT, coffee shops, grocery stores, trendy restaurants, downtown core, and River Valley. Minutes away from the Royal Glenora Club, U of A, and Ice District. (31078252)",T5K2V8,"{'price_change_date': '', 'photo_change_date': '2024-04-03 4:47:17 PM'}",[],residential
"$399,800",Single Family,"#403 9741 110 ST NW|Edmonton, Alberta T5K2V8",53.5353260178245,-113.50975657791,"[{'code': 'RL h65', 'description': 'Large Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638475724102430000/reb10/highres/0/E4379630_1.jpg'],"['Stall', 'Underground']","['Golf Course', 'Public Transit', 'Schools', 'Shopping']",2,2,97 m2,Condominium/Strata,"TREELINE VIEWS from this 1044 sq.ft. CORNER UNIT facing SOUTH & WEST in GRANDIN MANOR conveniently located with the LRT at your doorstep, close to the river valley trails, the Legislature & quick access to the Ice District, U of A, U of A Hospital, Brewery District & the Royal Glenora Club.  This gorgeous home has an open floor plan with the bedrooms at opposite ends of the living area, QUARTZ countertops in the kitchen, stainless steel appliances, engineered hardwood flooring throughout, corner electric fireplace.  The main 4 piece bathroom is next to the 2nd bedroom that has a walk-in closet.  4 piece ensuite bathroom in the primary bedroom.  South facing balcony with a gas BBQ outlet. Included:  Fridge, ceramic top stove, built-in microwave, dishwasher, INSUITE WASHER & DRYER, window coverings & A/C.  TWO TITLED PARKING STALLS - 1 UNDERGROUND (#154 on P2) & 1 OUTSIDE (#259).  The building amenities include an exercise room, meeting room & visitor parking.  A very well run building.  Shows beautifully! (31066321)",T5K2V8,"{'price_change_date': '', 'photo_change_date': '2024-04-01 4:46:50 PM'}",[],residential
"$399,800",Single Family,"#101 10855 SASKATCHEWAN DR NW|Edmonton, Alberta T6E6T6",53.523657600001,-113.5098668,"[{'code': 'RL h65', 'description': 'Large Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638482708208630000/reb10/highres/7/E4381057_1.jpg'],"['Heated Garage', 'Underground']","['Golf Course', 'Public Transit', 'Schools', 'Shopping']",3,2,184.62 m2,Condominium/Strata,"Executive 2 storey condo on Saskatchewan Drive with a view. This nearly 2000 sqft condo offers 3 bedrooms and 2 full bath. Main floor offers tons of natural light and a very unique layout. Large living room with 3 sided fireplace, a flex area perfect for additional seating/entertaining and doors leading out to the patio. Kitchen features stainless steel appliances, beautiful white cabinets, pantry and large dining/nook area with another door leading out to the patio. 3 piece bath and laundry complete the main level. Spiral staircase leads you to 3 large bedrooms and loft space. Primary bedroom can accommodate king size bed, walk-in closet and 4-piece ensuite with jacuzzi tub and separate shower. Entrance to the unit from both the main level and second level, with elevator access to both. Open to below offering lots of windows. Location can't be beat, steps to the river valley, minutes from the U of A, downtown and trendy restaurants and shopping. Secured underground parking with storage included. (31107349)",T6E6T6,"{'price_change_date': '', 'photo_change_date': '2024-04-09 6:47:00 PM'}",[],residential
"$399,800",Single Family,"#16 17418 98A AV NW|Edmonton, Alberta T5T6G2",53.5347543176076,-113.621818284656,"[{'code': 'RL h65', 'description': 'Large Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638485351160100000/reb10/highres/1/E4381651_1.jpg'],"['Attached Garage', 'Heated Garage']","['Public Transit', 'Shopping']",2,3,148.53 m2,Condominium/Strata,"Discover an exceptional find: a stunning 5-lvl split with a walk-out basement! Recently renovated to perfection,this home boasts captivating hardwood floors throughout,vaulted ceiling,skylight & New Cabinets complemented by brand new Corian Countertops everywhere,Tiled backsplash & New cabinets & New Appliances in the Kitchen! New everything in the main floor bathroom & remodeled laundry room,updated cabinets in the Ensuite too!The spacious bedrooms feature ample closets,offering both comfort & convenience.Delight in the newly renovated RecRoom showcasing all New Flooring,entertainment center, den area & it is wide open now with access to the walk out yard & deck! From the Dining room,step outside to the charming back deck overlooking a picturesque walkway.2523 sq ft of living space!Enjoy the perks of 18+ living in this inviting community,conveniently located near shopping centers with easy access to both Henday & Whitemud.Pets are welcome with board approval.Don't miss out on this remarkable opportunity! (31123339)",T5T6G2,"{'price_change_date': '2024-04-19 6:51:44 PM', 'photo_change_date': '2024-04-12 8:11:56 PM'}",[],residential
"$399,800",Single Family,"9518 106 AV NW|Edmonton, Alberta T5H0N2",53.551359776987,-113.483138091402,"[{'code': 'RM h16', 'description': 'Medium Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638430147997030000/reb10/highres/5/E4372485_1.jpg'],['Detached Garage'],"['Playground', 'Public Transit', 'Shopping']",8,3,101.92 m2,Freehold,"Welcome to McCauley! This home features a total living space of 2,070+ sqft with 8 bedrooms in total & 2.5 baths and a fully-fenced backyard! You are welcomed into the spacious living room w/ bay windows, a galley kitchen, and a spacious dining area! this home has a large primary bedroom with a 2-pc ensuite + 2 full-size bedrooms & a common 4-pc bath on the main floor! The basement features a 3-pc bath and 5 ample-sized bedrooms, perfect for when guests or relatives stay over! Close to all amenities, including transportation, restaurants, shopping, and schools, and a few minute's drive to DOWNTOWN Edmonton, the Victoria School of Arts, gyms, NAIT, and MacEwan! This home is for those who are leading an active lifestyle! (30869082)",T5H0N2,"{'price_change_date': '2024-05-02 10:51:43 PM', 'photo_change_date': '2024-02-08 11:46:39 PM'}",[],residential
